Bpressure,deviceId,Ay,Ax,Gy,Gx,activity,My,Mx,Az,counter,Gz,Lilluminance,timestamp,Mz
,ccbc9d76c2ebeaf5,0.4551210105419159,-0.2794409990310669,,,1,,,0.3214089870452881,0,,337.9725036621094,2023-06-24 11:08:42,
,ccbc9d76c2ebeaf5,0.4518269896507263,-0.23265400528907776,-0.9361502528190613,-0.3649153411388397,1,-0.35625001788139343,23.92500114440918,0.6866160035133362,1,0.20250166952610016,346.0050048828125,2023-06-24 11:08:42,-31.70625114440918
,ccbc9d76c2ebeaf5,0.6822239756584167,-0.15530599653720856,,,1,,,0.6703289747238159,2,,,2023-06-24 11:08:42,
950.4100341796875,ccbc9d76c2ebeaf5,0.6314719915390015,-0.17470400035381317,-0.743346095085144,-1.7439426183700562,1,2.8500001430511475,21.262500762939453,0.9584320187568665,3,-0.9064469933509827,365.9850158691406,2023-06-24 11:08:42,-32.625
950.433349609375,ccbc9d76c2ebeaf5,-0.0449570007622242,-0.02379000000655651,0.48670652508735657,0.4615846872329712,1,7.575000286102295,18.806251525878906,1.6089969873428345,4,-0.03504836559295654,365.9850158691406,2023-06-24 11:08:42,-32.73750305175781
950.41845703125,ccbc9d76c2ebeaf5,0.3181760013103485,-0.14109300076961517,,,1,9.543750762939453,18,0.4861700236797333,5,,,2023-06-24 11:08:42,-32.73750305175781
,ccbc9d76c2ebeaf5,0.3447110056877136,-0.13895800709724426,0.11461350321769714,-0.41294458508491516,1,11.418750762939453,17.325000762939453,0.8677250146865845,6,-0.21097742021083832,366.9975280761719,2023-06-24 11:08:42,-32.53125
950.4075927734375,ccbc9d76c2ebeaf5,0.19641999900341034,-0.2752319872379303,-0.3568213880062103,-0.3294851779937744,1,,,1.260198950767517,0,-0.2421315312385559,373.0050048828125,2023-06-24 11:08:43,
950.3973388671875,ccbc9d76c2ebeaf5,-0.09345199912786484,-0.33970901370048523,0.4453204274177551,0.5792525410652161,1,12.656250953674316,16.818750381469727,1.170894980430603,1,0.6152172088623047,375.9750061035156,2023-06-24 11:08:43,-32.400001525878906
950.40673828125,ccbc9d76c2ebeaf5,0.1685430109500885,-0.21087700128555298,-0.05673406645655632,0.03153589367866516,1,12.90000057220459,16.96875,0.5153279900550842,2,0.724409282207489,379.01251220703125,2023-06-24 11:08:43,-32.212501525878906
