deviceId,Ay,Ax,Gy,Gx,activity,My,Mx,Az,counter,Gz,timestamp,Mz
8fe3a65e2ea6658d,0.5949940085411072,0.23045799136161804,,,4,,,0.7687219977378845,0,,2023-07-16 19:36:06,
8fe3a65e2ea6658d,0.5721799731254578,0.23216600716114044,,,4,,,0.7620120048522949,1,,2023-07-16 19:36:06,
8fe3a65e2ea6658d,0.5842580199241638,0.2760860025882721,-0.4076641798019409,0.024968381971120834,4,-8.49375057220459,-11.231250762939453,0.7871440052986145,2,-0.07742489129304886,2023-07-16 19:36:06,54.562503814697266
8fe3a65e2ea6658d,0.5766940116882324,0.20618000626564026,,,4,-8.081250190734863,-9.787500381469727,0.695277988910675,0,,2023-07-16 19:36:07,55.44375228881836
8fe3a65e2ea6658d,0.5971900224685669,0.46677201986312866,-0.4895177185535431,-0.445078581571579,4,,,0.4409080147743225,1,-0.1313321590423584,2023-07-16 19:36:07,
8fe3a65e2ea6658d,0.17750999331474304,0.5286259651184082,-2.505237340927124,-2.3784866333007812,4,-9.24375057220459,-5.925000190734863,0.8431419730186462,2,-0.978424608707428,2023-07-16 19:36:07,56.868751525878906
8fe3a65e2ea6658d,0.11541199684143066,0.589870035648346,,,4,,,0.9441580176353455,3,,2023-07-16 19:36:07,
8fe3a65e2ea6658d,0.36002200841903687,-0.14993800222873688,0.8041804432868958,-0.6501705646514893,4,-12.24375057220459,0.8062500357627869,1.1991380453109741,4,-1.31049644947052,2023-07-16 19:36:07,57.48750305175781
8fe3a65e2ea6658d,-0.02135000005364418,-0.42419400811195374,,,4,1.5,-0.7125000357627869,1.3372420072555542,5,,2023-07-16 19:36:07,46.76250076293945
8fe3a65e2ea6658d,0.008539999835193157,0.6267139911651611,2.972306489944458,-0.5282301902770996,4,,,0.8064200282096863,6,0.9262735247612,2023-07-16 19:36:07,
8fe3a65e2ea6658d,-0.16360200941562653,0.4273660182952881,,,4,-2.25,-8.175000190734863,1.1288659572601318,7,,2023-07-16 19:36:07,48.30000305175781
8fe3a65e2ea6658d,0.4168740212917328,0.1289539933204651,0.17592400312423706,-0.00259610079228878,4,23.25,17.943750381469727,0.866566002368927,0,0.007711946498602629,2023-07-17 20:03:13,3.637500047683716
8fe3a65e2ea6658d,0.3886919915676117,0.09735599905252457,0.6649072170257568,-0.6524612307548523,4,24.037500381469727,17.73750114440918,0.9648980498313904,1,-0.05810684710741043,2023-07-17 20:03:13,4.087500095367432
8fe3a65e2ea6658d,0.3924739956855774,-0.04391999915242195,0.9826241731643677,-0.37765631079673767,4,20.118751525878906,20.100000381469727,0.8692499399185181,0,1.9401272535324097,2023-07-17 20:03:14,7.537500381469727
8fe3a65e2ea6658d,0.21898998320102692,-0.17031200230121613,0.06872031837701797,0.9794172048568726,4,17.26875114440918,21.637500762939453,1.0393180847167969,1,1.3234769105911255,2023-07-17 20:03:14,8.006250381469727
8fe3a65e2ea6658d,0.3470900058746338,-0.11919399350881577,0.3000023663043976,0.19768545031547546,4,15.318750381469727,22.481250762939453,0.9376920461654663,2,0.38162681460380554,2023-07-17 20:03:14,8.625
8fe3a65e2ea6658d,0.5436319708824158,-0.11089800298213959,0.22097399830818176,0.12216944992542267,4,13.668750762939453,23.08125114440918,1.0074759721755981,3,0.15118469297885895,2023-07-17 20:03:14,9.131250381469727
8fe3a65e2ea6658d,0.538752019405365,-0.08198399841785431,-0.6830036044120789,0.5884749889373779,4,12.731250762939453,23.418750762939453,0.8676640391349792,0,-0.41797223687171936,2023-07-17 20:03:15,9.600000381469727
8fe3a65e2ea6658d,0.4736039936542511,-0.16762800514698029,-2.0192320346832275,-0.10911259055137634,4,11.8125,23.756250381469727,0.7449319958686829,1,-0.8548043966293335,2023-07-17 20:03:15,10.293750762939453
8fe3a65e2ea6658d,0.3924739956855774,0.11553400754928589,,,4,12.356250762939453,26.943750381469727,0.23851001262664795,2,,2023-07-17 20:03:15,-5.34375
8fe3a65e2ea6658d,0.5248439908027649,0.2021539956331253,0.06795676052570343,-0.04802786558866501,4,-11.0625,-12.43125057220459,0.8716899752616882,0,0.012216945178806782,2023-07-16 11:38:02,59.868751525878906
8fe3a65e2ea6658d,0.5715699791908264,0.07039399445056915,-0.18676654994487762,0.05184566229581833,4,-10.96875,-12.15000057220459,0.8372859954833984,0,-0.03336753323674202,2023-07-16 11:38:03,60.093753814697266
8fe3a65e2ea6658d,0.5583940148353577,0.12846601009368896,-0.09368869662284851,0.007788302376866341,4,-10.950000762939453,-11.737500190734863,0.806298017501831,1,0.0065666078589856625,2023-07-16 11:38:03,60.20625305175781
8fe3a65e2ea6658d,0.558027982711792,0.08332599699497223,-0.053143709897994995,-0.03588727489113808,4,-10.987500190734863,-11.381250381469727,0.801173985004425,2,0.017180079594254494,2023-07-16 11:38:03,60.30000305175781
8fe3a65e2ea6658d,0.5627859830856323,0.13663999736309052,0.028251685202121735,0.008551862090826035,4,-10.987500190734863,-11.137500762939453,0.8123980164527893,3,0.0024433890357613564,2023-07-16 11:38:03,60.22500228881836
8fe3a65e2ea6658d,0.5720579624176025,0.13749399781227112,-0.024815669283270836,0.03504735976457596,4,-10.83750057220459,-10.875,0.7927559614181519,4,-0.005573981441557407,2023-07-16 11:38:03,60.20625305175781
8fe3a65e2ea6658d,0.5830380320549011,0.14676599204540253,-0.050013117492198944,-0.0165692325681448,4,-10.706250190734863,-10.575000762939453,0.8120319843292236,0,0.02802261710166931,2023-07-16 11:38:04,60.30000305175781
8fe3a65e2ea6658d,0.5820620059967041,0.1323700100183487,-0.05528167635202408,-0.001985253533348441,4,-10.46250057220459,-10.125,0.760670006275177,1,-0.04306473210453987,2023-07-16 11:38:04,60.337501525878906
8fe3a65e2ea6658d,0.5777919888496399,0.12931999564170837,-0.06528430432081223,0.09704835712909698,4,-10.200000762939453,-9.84375,0.8155699968338013,2,-0.02695363573729992,2023-07-16 11:38:04,60.26250076293945
