deviceId,Ay,Ax,Gy,Gx,activity,My,Mx,Az,counter,Gz,Lilluminance,timestamp,Mz
629b502066d8a33a,0.6251280307769775,0.4289519786834717,,,1,,,0.702659010887146,0,,17.700000762939453,2023-06-09 20:12:39,
629b502066d8a33a,0.7030860185623169,0.37252700328826904,0.005951222963631153,0.012789273634552956,1,-38.600799560546875,24.54640007019043,0.8089209794998169,1,0.009467661380767822,12.287500381469727,2023-06-09 20:12:39,-21.313400268554688
629b502066d8a33a,0.4534130096435547,0.37667497992515564,-0.022468794137239456,0.0160917229950428,1,-37.79560089111328,26.51059913635254,0.8118489980697632,2,0.016506925225257874,11.387499809265137,2023-06-09 20:12:39,-20.703399658203125
629b502066d8a33a,0.4753729999065399,0.08357000350952148,-0.03667614236474037,0.017092466354370117,1,-36.67319869995117,28.364999771118164,0.590785026550293,0,0.02151383087038994,11.612500190734863,2023-06-09 20:12:40,-20.23979949951172
629b502066d8a33a,0.580659031867981,0.031049001961946487,,,1,-35.97779846191406,29.4507999420166,0.7310240268707275,1,,12.112500190734863,2023-06-09 20:12:40,-19.995800018310547
629b502066d8a33a,0.6576410531997681,0.13633500039577484,-0.03369201347231865,0.015784047544002533,1,,,1.0832380056381226,2,0.020081916823983192,12.737500190734863,2023-06-09 20:12:40,
629b502066d8a33a,0.49397799372673035,-0.04684799909591675,-0.021440371870994568,0.016247157007455826,1,-35.77040100097656,29.999799728393555,0.845337986946106,3,0.009620966389775276,13.862500190734863,2023-06-09 20:12:40,-19.751800537109375
629b502066d8a33a,0.5127660036087036,0.01836100034415722,,,1,,,0.5363119840621948,4,,,2023-06-09 20:12:40,
629b502066d8a33a,0.5386910438537598,0.039101000875234604,-0.009201506152749062,0.020256515592336655,1,-35.77040100097656,30.268199920654297,0.5211840271949768,5,-0.006337679922580719,14.199999809265137,2023-06-09 20:12:40,-19.434598922729492
629b502066d8a33a,0.6747210025787354,0.12120699882507324,-0.004785464610904455,0.025563642382621765,1,-35.61180114746094,30.341400146484375,0.8247810006141663,6,-0.02022138237953186,14.375,2023-06-09 20:12:40,-19.446800231933594
629b502066d8a33a,0.6571530103683472,0.23039700090885162,,,1,,,1.0031449794769287,7,,14.824999809265137,2023-06-09 20:12:40,
629b502066d8a33a,0.4211440086364746,0.2479649931192398,-0.0077589466236531734,0.02771417424082756,1,-35.23360061645508,30.207199096679688,0.7551800012588501,0,-0.025954358279705048,14.262499809265137,2023-06-09 20:12:41,-19.995800018310547
629b502066d8a33a,0.0777139961719513,0.12389099597930908,-0.008088978938758373,0.017637550830841064,1,-33.44020080566406,30.82939910888672,1.1008670330047607,1,-0.019777435809373856,15.100000381469727,2023-06-09 20:12:41,-20.9596004486084
