deviceId,Ay,Ax,Gy,Gx,activity,My,Mx,Az,counter,Gz,Lilluminance,timestamp,Mz
b719b9175e5338b9,0.6361958384513855,0.07617280632257462,0.02488750033080578,0.06077500060200691,4,,,0.7787522077560425,2,-0.029012499377131462,,2023-07-18 12:03:31,
b719b9175e5338b9,0.6649518609046936,0.03752046078443527,-0.043175000697374344,-0.03712499886751175,4,,,0.7643741965293884,3,0.025299999862909317,,2023-07-18 12:03:31,
b719b9175e5338b9,0.646902859210968,0.049971193075180054,-0.07397499680519104,-0.1691250056028366,4,,,0.7741634845733643,4,-0.0013749999925494194,,2023-07-18 12:03:31,
b719b9175e5338b9,0.6547648906707764,0.03752046078443527,-0.013337500393390656,-0.013749999925494194,4,,,0.8219932913780212,5,0.04124999791383743,,2023-07-18 12:03:31,
b719b9175e5338b9,0.6430330276489258,0.07464323192834854,-0.0037124999798834324,0.02667500078678131,4,,,0.7712113857269287,0,0.02419999986886978,,2023-07-18 12:03:32,
b719b9175e5338b9,0.6537401080131531,0.0712781697511673,-0.0016499999910593033,0.010724999941885471,4,,,0.778048574924469,1,-0.004537499975413084,2816,2023-07-18 12:03:32,
b719b9175e5338b9,0.6632234454154968,0.04905344918370247,-0.028187500312924385,-0.028737500309944153,4,,,0.7782474756240845,2,0.023099999874830246,2821,2023-07-18 12:03:32,
b719b9175e5338b9,0.6349722146987915,0.06760718673467636,0.0057749999687075615,0.05115000158548355,4,,,0.7883426547050476,3,0.0008249999955296516,,2023-07-18 12:03:32,
b719b9175e5338b9,0.6535412669181824,0.06883084774017334,-0.007974999956786633,0.040424998849630356,4,20.8125,-47.8125,0.7589747905731201,4,0.040150001645088196,2803,2023-07-18 12:03:32,-15.956250190734863
b719b9175e5338b9,0.6364099979400635,0.09809160232543945,0.01966249942779541,0.03726249933242798,4,20.887500762939453,-47.64375305175781,0.778048574924469,5,-0.07369999587535858,2777,2023-07-18 12:03:32,-15.956250190734863
b719b9175e5338b9,0.6672003269195557,0.04680497571825981,0.023924998939037323,-0.055275000631809235,4,20.700000762939453,-47.88750076293945,0.7614221572875977,0,-0.021587500348687172,2753,2023-07-18 12:03:33,-15.956250190734863
b719b9175e5338b9,0.6490442752838135,0.05200552940368652,,,4,,,0.8200507164001465,1,,,2023-07-18 12:03:33,
