1.0019792,0.014168724,0.00602774,0.041616254,0.039591584,1.0019888,22.84665,21.84375,21.600004,1.0020698,-21.6,-0.0041465834,-21.84375,0.08804259,0.013476396,7.443752,7.4438543,30.719854,7.4437504,23.077236,7.443763,7.5108843,21.843754,0.07874768
1.0031683,0.014779042,0.0058626193,0.0543633,0.052643314,1.0031779,23.11878,21.46875,21.881254,1.0032676,-21.88125,-0.003902667,-21.46875,0.10963397,0.014116678,7.4625015,7.4626846,30.654467,7.4625,22.728752,7.4625134,7.529625,21.468754,0.096247174
1.0022537,0.019477135,0.013460442,0.050229304,0.048216257,1.0023396,23.124231,21.356255,21.956255,1.002357,-21.956251,-0.0029879794,-21.35625,0.10760761,0.014391084,7.2562623,7.2564096,30.629501,7.2562504,22.555323,7.2562647,7.3251405,21.356256,0.096247174
1.0029244,0.0145753175,0.0058626193,0.03765937,0.035215884,1.002934,23.088827,21.31875,21.937504,1.0030208,-21.9375,-0.003902667,-21.31875,0.10653508,0.013903251,7.2000017,7.200085,30.589918,7.2000003,22.501759,7.2000136,7.269516,21.318754,0.10062204
1.0029548,0.013933741,0.0038721773,0.037670635,0.03521252,1.0029548,23.107008,21.375,21.975004,1.0030516,-21.975,-0.0038721773,-21.375,0.10241311,0.013933741,7.14375,7.1438355,30.656015,7.14375,22.537165,7.1437635,7.213812,21.375004,0.096247174
1.002467,0.01637579,0.009555969,0.050074823,0.04827668,1.0025052,23.107008,21.468752,21.975004,1.0025626,-21.975,-0.0038416877,-21.46875,0.11153778,0.013842272,7.1437554,7.1439123,30.721457,7.14375,22.6261,7.1437635,7.213744,21.468754,0.10062204
1.00265,0.014604404,0.0060068066,0.041766595,0.039588403,1.0026596,23.12484,21.50625,21.993755,1.0027468,-21.993752,-0.004116094,-21.50625,0.103989504,0.013933741,7.1437516,7.1438584,30.761078,7.14375,22.661684,7.1437635,7.2137694,21.506254,0.096247174
1.0024366,0.014313801,0.0062196986,0.04166587,0.039621264,1.0024462,23.119055,21.46875,21.993755,1.0025293,-21.993752,-0.00442099,-21.46875,0.103989504,0.013628845,7.125002,7.125109,30.73487,7.1250005,22.620188,7.1250134,7.195173,21.468754,0.096247174
1.0021926,0.016634312,0.009789509,0.045979258,0.043968473,1.0022308,23.191053,21.356253,22.087505,1.0022925,-22.087502,-0.0043905005,-21.35625,0.11374665,0.014147167,7.0687556,7.068886,30.723722,7.0687504,22.495703,7.0687647,7.1394415,21.356255,0.10499691
1.0024366,0.0144520635,0.004573438,0.03786542,0.035296515,1.0024366,23.17892,21.225,22.068756,1.0025408,-22.06875,-0.004573438,-21.225,0.11483516,0.0144520635,7.0875,7.0875864,30.619118,7.0875,22.377071,7.087515,7.15804,21.225006,0.10937178
