Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
1712535943040,-0.040677983,0.13220344,9.829416,-7.635591E-5,-6.8720314E-4,0.0013744063,7.4437504,-21.84375,-21.6
1712535943085,-0.038285162,0.13848461,9.841082,-7.635591E-5,-9.162709E-4,0.00167983,7.4625,-21.46875,-21.88125
1712535943229,-0.029312078,0.14117654,9.8321085,-2.2906772E-4,-8.39915E-4,0.00167983,7.2562504,-21.35625,-21.956251
1712535943427,-0.038285162,0.1363909,9.838689,-7.635591E-5,-6.1084726E-4,0.0017561859,7.2000003,-21.31875,-21.9375
1712535943627,-0.03798606,0.13668999,9.838987,-0.0,-6.1084726E-4,0.00167983,7.14375,-21.375,-21.975
1712535943827,-0.037686955,0.13579269,9.834202,1.5271181E-4,-8.39915E-4,0.0017561859,7.14375,-21.46875,-21.975
1712535944027,-0.040378883,0.13668999,9.835997,-7.635591E-5,-6.8720314E-4,0.00167983,7.14375,-21.50625,-21.993752
1712535944228,-0.04336991,0.13369897,9.833903,-7.635591E-5,-6.8720314E-4,0.00167983,7.1250005,-21.46875,-21.993752
1712535944430,-0.043070808,0.13878371,9.83151,1.5271181E-4,-7.635591E-4,0.0018325418,7.0687504,-21.35625,-22.087502
1712535944632,-0.044865426,0.14177474,9.833903,0.0,-6.1084726E-4,0.0019088977,7.0875,-21.225,-22.06875
1712535944835,-0.030508488,0.14057833,9.82822,-1.5271181E-4,-6.8720314E-4,0.0018325418,7.18125,-21.206251,-22.06875
1712535945037,-0.03379862,0.13938192,9.830014,0.0,-5.344914E-4,0.0018325418,7.1625004,-21.150002,-22.143751
1712535945239,-0.03918247,0.13579269,9.83151,-7.635591E-5,-3.8177954E-4,0.0019088977,7.18125,-21.112501,-22.181252
1712535945442,-0.03678965,0.13310076,9.83151,-7.635591E-5,-6.8720314E-4,0.0018325418,7.2187505,-20.8875,-22.237501
1712535945644,-0.02871387,0.13549358,9.832706,-1.5271181E-4,-5.344914E-4,0.0018325418,7.2187505,-20.681252,-22.21875
1712535945847,-0.03918247,0.1378864,9.830613,0.0,-6.1084726E-4,0.0019088977,7.2187505,-20.681252,-22.21875
1712535946049,-0.037686955,0.14356937,9.8321085,7.635591E-5,-7.635591E-4,0.0019852535,7.2562504,-20.7,-22.2
1712535946251,-0.047856454,0.13609178,9.832407,-0.0,-5.344914E-4,0.0019852535,7.2937503,-20.831251,-22.1625
1712535946453,-0.035294134,0.13968103,9.836296,0.0,-4.5813544E-4,0.0019088977,7.3125005,-20.79375,-22.181252
1712535946656,-0.034097724,0.14207384,9.833604,0.0,-6.1084726E-4,0.0019088977,7.3500004,-20.775002,-22.143751
1712535946858,-0.02961118,0.14446667,9.836296,-7.635591E-5,-7.635591E-4,0.0019088977,7.425,-20.75625,-22.143751
1712535947061,-0.03589234,0.1378864,9.834202,7.635591E-5,-7.635591E-4,0.0017561859,7.4062505,-20.868752,-22.10625
1712535947263,-0.030807592,0.13250256,9.826724,-7.635591E-5,-7.635591E-4,0.0020616094,7.51875,-20.8125,-22.181252
1712535947465,-0.036490545,0.13609178,9.826724,-1.5271181E-4,-5.344914E-4,0.0017561859,7.5750003,-20.643751,-22.2
1712535947668,-0.03798606,0.13489537,9.834501,-0.0,-6.8720314E-4,0.0017561859,7.5750003,-20.53125,-22.25625
1712535947870,-0.032901313,0.14297116,9.834501,7.635591E-5,-7.635591E-4,0.0015271181,7.55625,-20.362501,-22.331251
1712535948073,-0.040378883,0.13908282,9.837193,-2.2906772E-4,-6.1084726E-4,0.001603474,7.5375004,-20.2875,-22.368752
1712535948274,-0.043070808,0.14177474,9.838689,-1.5271181E-4,-6.8720314E-4,0.0015271181,7.6312504,-20.1375,-22.3125
1712535948477,-0.037387855,0.1372882,9.836296,-7.635591E-5,-6.1084726E-4,0.0013744063,7.6875005,-19.987501,-22.3125
1712535948679,-0.039780676,0.14267205,9.844372,-1.5271181E-4,-6.1084726E-4,0.0012980504,7.8375,-19.78125,-22.3125
1712535948882,-0.03798606,0.14267205,9.847063,-0.0,-4.5813544E-4,0.0015271181,7.8,-19.78125,-22.3125
1712535949084,-0.035294134,0.1372882,9.847063,-1.5271181E-4,-5.344914E-4,0.0014507623,7.8187504,-19.743752,-22.368752
1712535949286,-0.03589234,0.14207384,9.838987,-7.635591E-5,-3.0542363E-4,0.0012980504,7.8562503,-19.706251,-22.3125
1712535949489,-0.038285162,0.13190435,9.846765,0.0,-5.344914E-4,0.0012980504,7.8375,-19.725,-22.25625
1712535949691,-0.03918247,0.14177474,9.84467,-7.635591E-5,-6.1084726E-4,0.0011453386,7.8562503,-19.6875,-22.237501
1712535949893,-0.034396827,0.14027923,9.841979,-7.635591E-5,-6.1084726E-4,0.0010689828,7.7625003,-19.78125,-22.368752
1712535950095,-0.031106694,0.14177474,9.84826,-1.5271181E-4,-6.1084726E-4,0.0010689828,7.70625,-19.800001,-22.40625
1712535950298,-0.034396827,0.14536397,9.853345,-3.0542363E-4,-5.344914E-4,0.0012216945,7.55625,-19.837502,-22.425001
1712535950500,-0.030209387,0.14626129,9.844072,7.635591E-5,-6.1084726E-4,0.0011453386,7.5375004,-19.837502,-22.5
1712535950703,-0.027816564,0.1378864,9.84497,7.635591E-5,-6.1084726E-4,9.926268E-4,7.51875,-19.837502,-22.462502
1712535950905,-0.032901313,0.14117654,9.849456,7.635591E-5,-3.8177954E-4,0.0011453386,7.5375004,-19.893751,-22.48125
1712535951107,-0.032901313,0.13908282,9.853345,-0.0,-6.1084726E-4,0.0011453386,7.6125,-19.85625,-22.556252
1712535951310,-0.03798606,0.1369891,9.852148,7.635591E-5,-5.344914E-4,9.926268E-4,7.5937505,-19.875,-22.575
1712535951512,-0.03260221,0.14506488,9.851251,7.635591E-5,-5.344914E-4,9.162709E-4,7.65,-19.7625,-22.5375
1712535951714,-0.03798606,0.13938192,9.856036,-7.635591E-5,-4.5813544E-4,9.162709E-4,7.65,-19.650002,-22.5375
1712535951917,-0.02871387,0.13579269,9.850952,-7.635591E-5,-3.8177954E-4,8.39915E-4,7.6687503,-19.725,-22.575
1712535952119,-0.03678965,0.13609178,9.853045,7.635591E-5,-4.5813544E-4,8.39915E-4,7.65,-19.743752,-22.5
1712535952321,-0.03589234,0.13190435,9.857831,7.635591E-5,-5.344914E-4,7.635591E-4,7.74375,-19.743752,-22.5375
1712535952523,-0.038584266,0.1381855,9.854541,-1.5271181E-4,-6.8720314E-4,6.8720314E-4,7.8187504,-19.612501,-22.650002
1712535952726,-0.03619144,0.13220344,9.858728,1.5271181E-4,-5.344914E-4,7.635591E-4,7.8,-19.743752,-22.63125
1712535952928,-0.036490545,0.13968103,9.856036,-0.0,-4.5813544E-4,8.39915E-4,7.8,-19.706251,-22.575
1712535953131,-0.041575294,0.1378864,9.858429,-7.635591E-5,-6.8720314E-4,6.8720314E-4,7.8375,-19.7625,-22.59375
1712535953333,-0.040977087,0.1381855,9.862318,-7.635591E-5,-6.1084726E-4,8.39915E-4,7.8562503,-19.800001,-22.612501
1712535953535,-0.0317049,0.13010973,9.860822,-7.635591E-5,-5.344914E-4,7.635591E-4,7.8562503,-19.6875,-22.6875
1712535953738,-0.03379862,0.1363909,9.860822,-1.5271181E-4,-3.0542363E-4,6.8720314E-4,7.89375,-19.650002,-22.6875
1712535953940,-0.036490545,0.13878371,9.858728,0.0,-3.0542363E-4,7.635591E-4,7.8187504,-19.66875,-22.66875
1712535954143,-0.037686955,0.13609178,9.859925,-1.5271181E-4,-3.0542363E-4,6.8720314E-4,7.7625003,-19.725,-22.59375
1712535954345,-0.035294134,0.13369897,9.862318,-7.635591E-5,-5.344914E-4,6.1084726E-4,7.7625003,-19.59375,-22.706251
