Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
1706746399642,0.0,0.0,0.0,-2.2906772E-4,-7.635591E-4,8.39915E-4,107.231255,-95.137505,29.531252
1706746399844,0.0020753432,5.976707E-4,0.0047807693,-3.0542363E-4,-5.344914E-4,9.926268E-4,107.418755,-94.950005,29.456251
1706746400046,-0.0021166047,-0.0011601299,0.0025758743,-3.0542363E-4,-5.344914E-4,8.39915E-4,107.568756,-94.9875,29.400002
1706746400249,-0.0011619293,0.002592221,0.0014953613,-3.8177954E-4,-3.8177954E-4,8.39915E-4,107.7375,-94.9875,29.437502
1706746400451,-0.0035499162,-0.0011976212,0.0015239716,-2.2906772E-4,-3.0542363E-4,9.926268E-4,107.662506,-94.875,29.5125
1706746400654,-0.0056342455,3.427714E-4,0.0012359619,-4.5813544E-4,-2.2906772E-4,9.926268E-4,107.68125,-94.4625,29.6625
1706746400856,0.0028483106,0.0022747517,0.0011253357,-1.5271181E-4,-3.0542363E-4,0.0010689828,107.64375,-94.275,29.831251
1706746401059,-0.0014896825,0.0017437339,-0.0011539459,-3.0542363E-4,-6.1084726E-4,0.0010689828,107.700005,-94.106255,29.812502
1706746401260,-0.0016884138,7.4474514E-4,0.0017309189,-3.0542363E-4,-4.5813544E-4,0.0012216945,107.700005,-93.80625,29.868752
1706746401463,-0.002042156,2.7054548E-4,9.937286E-4,-4.5813544E-4,-3.8177954E-4,0.0010689828,107.662506,-93.58125,30.000002
1706746401665,-7.992075E-4,-0.0012610406,-8.6402893E-4,-3.0542363E-4,-3.8177954E-4,0.0010689828,107.662506,-93.356255,30.056252
1706746401867,-0.0024726645,-1.1770427E-4,-0.0014181137,-3.8177954E-4,-3.0542363E-4,0.0010689828,107.49375,-93.09375,30.206251
1706746402070,-0.001763503,0.0024263114,4.940033E-4,-2.2906772E-4,-2.2906772E-4,9.162709E-4,107.55,-92.9625,30.300001
1706746402272,-0.0010668003,0.0017687827,0.001994133,-3.8177954E-4,-3.8177954E-4,0.0012216945,107.53126,-93.037506,30.31875
1706746402474,-0.0037183787,0.0024338067,-0.0027036667,-3.0542363E-4,-3.8177954E-4,9.926268E-4,107.606255,-92.9625,30.243752
1706746402677,-0.0022149142,0.0019653738,-6.7043304E-4,-3.8177954E-4,-2.2906772E-4,9.926268E-4,107.68125,-92.925,30.225
1706746402879,-0.0039473856,-0.002070427,0.0016746521,-3.0542363E-4,-3.8177954E-4,8.39915E-4,107.775,-92.943756,30.243752
1706746403081,0.0015462824,0.0019249171,-0.0013227463,-3.8177954E-4,-3.0542363E-4,9.162709E-4,107.850006,-92.850006,30.206251
1706746403284,-0.0028070824,4.8539042E-4,0.0014677048,-3.0542363E-4,-3.8177954E-4,9.162709E-4,107.793755,-92.71875,30.300001
1706746403486,-0.0020640404,0.0023014098,0.001121521,-4.5813544E-4,-5.344914E-4,7.635591E-4,107.90626,-92.662506,30.13125
1706746403688,9.766237E-4,0.0031671822,-7.02858E-4,-3.0542363E-4,-4.5813544E-4,7.635591E-4,107.9625,-92.625,30.056252
1706746403891,-0.0020886825,-9.094179E-5,0.0012731552,-3.8177954E-4,-5.344914E-4,8.39915E-4,107.90626,-92.83125,30.000002
1706746404093,-0.0027227106,0.0028264523,4.6253204E-4,-3.8177954E-4,-3.8177954E-4,6.8720314E-4,107.86875,-92.83125,29.98125
1706746404295,-8.578929E-4,0.0015036315,-0.001748085,-1.5271181E-4,-1.5271181E-4,7.635591E-4,107.775,-92.943756,29.94375
1706746404497,-0.004069417,0.0030127019,4.2629242E-4,-3.0542363E-4,-3.8177954E-4,9.162709E-4,107.775,-92.925,29.962502
1706746404700,-1.3058756E-4,-6.1386824E-4,0.0017223358,-2.2906772E-4,-3.0542363E-4,8.39915E-4,107.81251,-93.01875,29.868752
1706746404902,-0.001909093,-0.002006635,0.002661705,-2.2906772E-4,-3.0542363E-4,8.39915E-4,107.793755,-93.0,29.94375
1706746405111,-0.0023748898,0.0039787143,0.0015420914,-3.0542363E-4,-3.0542363E-4,9.162709E-4,107.7375,-93.0,30.018751
1706746405306,9.6443476E-4,0.0031820387,-0.0020914078,-2.2906772E-4,-3.8177954E-4,6.1084726E-4,107.793755,-92.83125,29.962502
1706746405509,1.0748592E-4,0.0032599717,0.0018663406,-3.0542363E-4,-4.5813544E-4,8.39915E-4,107.775,-92.775,30.018751
1706746405713,-0.0016346136,0.0024764687,-5.836487E-4,-3.0542363E-4,-3.0542363E-4,6.1084726E-4,107.793755,-92.64375,30.000002
1706746405913,-0.004239578,4.3609738E-4,5.893707E-4,-3.8177954E-4,-4.5813544E-4,6.8720314E-4,107.71876,-92.5875,29.906252
1706746406115,-4.724473E-4,2.924651E-4,0.0012979507,-3.8177954E-4,-3.8177954E-4,7.635591E-4,107.756256,-92.68125,29.831251
1706746406318,-2.7897616E-4,-6.0658157E-4,4.825592E-4,-7.635591E-5,-4.5813544E-4,6.8720314E-4,107.7375,-92.606255,29.831251
1706746406520,0.0019089486,0.0015325993,6.942749E-4,-3.8177954E-4,-2.2906772E-4,7.635591E-4,107.756256,-92.5875,29.75625
1706746406723,3.225461E-4,-0.0018691719,3.0994415E-4,-7.635591E-5,-3.0542363E-4,7.635591E-4,107.756256,-92.49375,29.681252
1706746406925,-0.0016809425,0.0020958185,7.324219E-4,-3.0542363E-4,-3.0542363E-4,7.635591E-4,107.81251,-92.325005,29.6625
1706746407128,-0.0014599388,-1.2636185E-4,0.0027666092,-7.635591E-5,-1.5271181E-4,7.635591E-4,107.86875,-92.381256,29.643751
1706746407330,-5.1769684E-4,0.0018131286,0.0016870499,-3.0542363E-4,-3.8177954E-4,6.8720314E-4,107.850006,-92.4,29.737501
1706746407532,-0.0011023071,0.003339216,3.5572052E-4,-3.8177954E-4,-4.5813544E-4,5.344914E-4,107.86875,-92.45625,29.868752
1706746407735,-0.0024817907,4.0014088E-4,-0.0013608932,-2.2906772E-4,-3.8177954E-4,7.635591E-4,107.756256,-92.4375,29.962502
1706746407936,5.580797E-4,7.941276E-4,0.0023565292,-1.5271181E-4,-7.635591E-5,5.344914E-4,107.756256,-92.53125,30.075
1706746408139,-0.004637493,0.0021243244,-0.0011701584,-2.2906772E-4,-3.0542363E-4,6.8720314E-4,107.775,-92.5875,30.187502
1706746408341,0.0017004735,-0.0016587377,0.0035419464,-3.8177954E-4,7.635591E-5,8.39915E-4,107.71876,-92.625,30.187502
1706746408544,-0.0018975891,0.0013992637,-9.851456E-4,-2.2906772E-4,-1.5271181E-4,6.8720314E-4,107.700005,-92.700005,30.225
1706746408745,0.0029174278,0.0021811873,-0.0011129379,-7.635591E-5,-1.5271181E-4,8.39915E-4,107.68125,-92.71875,30.206251
1706746408948,-0.0028789903,0.0020629615,0.0011510849,-3.8177954E-4,-3.8177954E-4,7.635591E-4,107.756256,-92.793755,30.2625
1706746409150,-0.0042722174,7.700175E-4,-4.5681E-4,-3.8177954E-4,-1.5271181E-4,8.39915E-4,107.775,-92.83125,30.225
1706746409353,-0.0042167064,0.0015750676,5.273819E-4,-2.2906772E-4,-1.5271181E-4,8.39915E-4,107.850006,-92.793755,30.150002
1706746409555,0.0020568783,-0.0015319586,3.9100647E-5,-3.8177954E-4,-3.0542363E-4,6.8720314E-4,107.86875,-92.68125,30.150002
1706746409757,-0.0028801372,0.0024725199,9.326935E-4,-2.2906772E-4,-1.5271181E-4,8.39915E-4,107.850006,-92.68125,30.112501
1706746409960,-5.1879324E-5,0.0022581369,8.201599E-5,-4.5813544E-4,-1.5271181E-4,5.344914E-4,107.86875,-92.662506,30.206251
1706746410162,-2.5928492E-4,-1.6763806E-4,6.570816E-4,-2.2906772E-4,-3.0542363E-4,6.8720314E-4,107.83125,-92.887505,30.16875
1706746410364,6.64596E-4,0.0019001812,-0.0020742416,-2.2906772E-4,-1.5271181E-4,8.39915E-4,107.81251,-92.86875,30.150002
1706746410566,-8.21962E-6,8.1060827E-4,5.865097E-4,-3.0542363E-4,-1.5271181E-4,9.162709E-4,107.71876,-92.925,30.150002
1706746410769,-0.0037229038,-6.3702464E-5,2.3078918E-4,-4.5813544E-4,-3.8177954E-4,6.1084726E-4,107.7375,-92.8125,30.16875
1706746410971,-8.685002E-5,0.002920881,0.0019702911,-3.8177954E-4,-2.2906772E-4,6.8720314E-4,107.700005,-92.850006,30.2625
