Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
1707067580367,-0.5617151,-0.03798606,9.846166,6.1084726E-4,-0.0019088977,1.5271181E-4,-4.425,-32.5875,-22.66875
1707067580565,-0.55363935,-0.0424726,9.855139,3.8177954E-4,-0.00167983,1.5271181E-4,-4.2000003,-32.475002,-22.650002
1707067580765,-0.5623133,-0.039780676,9.857233,4.5813544E-4,-0.001603474,1.5271181E-4,-4.1062503,-32.49375,-22.59375
1707067580965,-0.5632106,-0.03888337,9.858429,5.344914E-4,-0.0019088977,1.5271181E-4,-4.1062503,-32.737503,-22.575
1707067581165,-0.5599205,-0.040677983,9.855438,6.1084726E-4,-0.0018325418,2.2906772E-4,-4.1062503,-32.71875,-22.5
1707067581367,-0.5599205,-0.03918247,9.862318,3.8177954E-4,-0.0015271181,4.5813544E-4,-4.0687504,-32.362503,-22.575
1707067581569,-0.5566304,-0.041874398,9.857532,5.344914E-4,-0.0018325418,7.635591E-5,-4.0687504,-32.30625,-22.556252
1707067581771,-0.5560322,-0.038285162,9.855438,6.1084726E-4,-0.001603474,4.5813544E-4,-4.05,-32.287502,-22.5
1707067581974,-0.5620142,-0.037686955,9.858429,3.8177954E-4,-9.162709E-4,8.39915E-4,-3.99375,-32.100002,-22.44375
1707067582176,-0.56141603,-0.038584266,9.860523,4.5813544E-4,-0.0014507623,1.5271181E-4,-3.9750001,-31.931252,-22.48125
1707067582378,-0.55812585,-0.04516453,9.856934,5.344914E-4,-0.0019088977,-7.635591E-5,-3.9375002,-31.7625,-22.462502
1707067582580,-0.56350976,-0.043070808,9.84796,5.344914E-4,-0.001603474,3.8177954E-4,-3.9562502,-31.5375,-22.44375
1707067582782,-0.5667999,-0.038285162,9.850653,5.344914E-4,-0.0018325418,-7.635591E-5,-3.9375002,-31.406252,-22.48125
1707067582985,-0.5599205,-0.03888337,9.856635,5.344914E-4,-0.0017561859,-0.0,-3.9,-31.44375,-22.462502
1707067583187,-0.56111693,-0.03619144,9.855139,6.1084726E-4,-0.0015271181,2.2906772E-4,-3.8812501,-31.406252,-22.48125
1707067583389,-0.5703891,-0.040378883,9.856934,4.5813544E-4,-0.00167983,1.5271181E-4,-3.8437502,-31.29375,-22.59375
1707067583592,-0.5617151,-0.040677983,9.857233,5.344914E-4,-0.0015271181,4.5813544E-4,-3.825,-31.44375,-22.612501
1707067583793,-0.56410795,-0.043070808,9.856336,3.8177954E-4,-0.0014507623,1.5271181E-4,-3.8625002,-31.612501,-22.556252
1707067583996,-0.5620142,-0.04127619,9.859028,4.5813544E-4,-0.00167983,4.5813544E-4,-3.8625002,-31.650002,-22.5375
1707067584198,-0.5593223,-0.034396827,9.860224,5.344914E-4,-0.0013744063,7.635591E-5,-3.8812501,-31.687502,-22.575
1707067584400,-0.56560344,-0.043070808,9.851251,5.344914E-4,-0.0015271181,1.5271181E-4,-3.8437502,-31.706251,-22.59375
1707067584603,-0.5623133,-0.04336991,9.858728,6.1084726E-4,-0.0015271181,4.5813544E-4,-3.91875,-31.7625,-22.5375
1707067584805,-0.5623133,-0.038584266,9.854541,5.344914E-4,-0.00167983,2.2906772E-4,-3.9,-31.725,-22.518751
1707067585008,-0.5596214,-0.038584266,9.857233,6.8720314E-4,-0.0015271181,3.8177954E-4,-3.9562502,-31.781252,-22.44375
1707067585210,-0.55812585,-0.040378883,9.857532,3.0542363E-4,-0.001603474,3.8177954E-4,-3.9375002,-31.650002,-22.462502
1707067585412,-0.56350976,-0.04516453,9.862019,7.635591E-4,-0.0014507623,7.635591E-5,-3.9562502,-31.556252,-22.5
1707067585614,-0.5605187,-0.037387855,9.861121,4.5813544E-4,-0.0019088977,6.8720314E-4,-3.99375,-31.575,-22.425001
1707067585816,-0.5632106,-0.048155557,9.856036,5.344914E-4,-0.0020616094,1.5271181E-4,-3.91875,-31.5375,-22.44375
1707067586019,-0.55752766,-0.04366901,9.851849,6.1084726E-4,-0.0017561859,3.8177954E-4,-4.05,-31.556252,-22.3875
1707067586222,-0.5599205,-0.03888337,9.862617,3.8177954E-4,-0.00167983,1.5271181E-4,-4.0125003,-31.650002,-22.44375
1707067586423,-0.5617151,-0.043968115,9.859028,5.344914E-4,-0.0017561859,-0.0,-4.05,-31.612501,-22.425001
1707067586626,-0.55812585,-0.03918247,9.859028,4.5813544E-4,-0.0015271181,4.5813544E-4,-4.05,-31.575,-22.44375
1707067586828,-0.55393845,-0.039780676,9.857831,4.5813544E-4,-0.0014507623,0.0,-4.1062503,-31.650002,-22.44375
1707067587030,-0.5587241,-0.042173497,9.858728,4.5813544E-4,-0.0022143214,6.1084726E-4,-4.1062503,-31.63125,-22.44375
1707067587232,-0.5566304,-0.041575294,9.857831,5.344914E-4,-0.0015271181,2.2906772E-4,-4.18125,-31.63125,-22.518751
1707067587436,-0.5587241,-0.040378883,9.856036,5.344914E-4,-0.00167983,2.2906772E-4,-4.21875,-31.63125,-22.518751
1707067587637,-0.55334026,-0.040378883,9.861719,5.344914E-4,-0.00167983,3.8177954E-4,-4.1062503,-31.44375,-22.5375
1707067587840,-0.5557331,-0.042173497,9.856036,6.1084726E-4,-0.00167983,3.8177954E-4,-4.14375,-31.218752,-22.556252
1707067588042,-0.55782676,-0.04546363,9.856934,4.5813544E-4,-0.0017561859,2.2906772E-4,-4.1625004,-31.237501,-22.612501
1707067588245,-0.55423754,-0.041575294,9.859925,4.5813544E-4,-0.0015271181,3.0542363E-4,-4.125,-31.1625,-22.575
1707067588447,-0.5593223,-0.04127619,9.860224,4.5813544E-4,-0.0018325418,3.0542363E-4,-4.0687504,-30.993752,-22.59375
1707067588649,-0.5605187,-0.04127619,9.856635,5.344914E-4,-0.001603474,1.5271181E-4,-4.05,-30.88125,-22.518751
1707067588851,-0.5599205,-0.042173497,9.859326,5.344914E-4,-0.0015271181,1.5271181E-4,-3.9375002,-30.7875,-22.556252
1707067589054,-0.55423754,-0.042173497,9.859626,3.8177954E-4,-0.0015271181,7.635591E-5,-3.9750001,-30.7875,-22.518751
1707067589256,-0.55812585,-0.03888337,9.858728,3.0542363E-4,-0.0015271181,2.2906772E-4,-4.0687504,-30.806252,-22.5
1707067589459,-0.55722857,-0.0424726,9.859925,4.5813544E-4,-0.001603474,2.2906772E-4,-4.03125,-30.843752,-22.518751
1707067589661,-0.5602196,-0.041575294,9.859925,5.344914E-4,-0.001603474,-0.0,-3.9750001,-30.7875,-22.5
1707067589863,-0.55453664,-0.040378883,9.859626,5.344914E-4,-0.0014507623,-0.0,-4.0125003,-30.768751,-22.5375
